                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4659,                 4.2992,                  1.609,                0.25691,                0.12727,                0.13185,                0.09926,                 1.3842,                 4.1067,                 1.7124,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.3805,                 3.1375,                 1.5346,                0.58821,                0.35892,                0.42916,                0.29448,                 1.1236,                 4.4433,                 1.4343,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 1.1609,                 2.4989,                 1.3512,                0.62593,                0.50707,                0.61421,                0.44322,                 0.9855,                 3.6746,                 1.2728,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.0216,                 2.1152,                 1.2311,                0.64961,                0.76499,                0.79369,                0.60939,                0.95438,                 1.9251,                 1.2778,             0.00020798,             0.00020798,             0.00020798
                      5,                0.79165,                 1.6914,                 1.1042,                0.81851,                0.67069,                 0.7335,                0.57403,                0.97913,                 1.7359,                 1.2675,             0.00026076,             0.00026076,             0.00026076
                      6,                0.84968,                 1.4705,                 1.1131,                0.62804,                0.75752,                0.69929,                0.54601,                0.94068,                 2.2138,                 1.2174,              0.0003124,              0.0003124,              0.0003124
                      7,                0.87961,                 1.4482,                 1.0941,                0.83852,                0.71515,                0.85032,                0.68757,                0.86627,                 1.4469,                 1.1423,             0.00036291,             0.00036291,             0.00036291
                      8,                0.83619,                 1.3514,                  1.077,                0.84515,                0.81194,                0.92823,                0.74428,                0.82872,                 1.3908,                 1.1057,             0.00041229,             0.00041229,             0.00041229
                      9,                0.77232,                 1.0857,                 1.0462,                0.75659,                0.76848,                0.90242,                0.72178,                0.79628,                 1.9502,                 1.0825,             0.00046054,             0.00046054,             0.00046054
                     10,                0.80846,                0.98012,                 1.0295,                0.81122,                0.85568,                0.91209,                0.73982,                 0.7748,                 1.7569,                 1.0626,             0.00050765,             0.00050765,             0.00050765
                     11,                0.74885,                0.98347,                0.99995,                0.80386,                0.91999,                0.90108,                0.72192,                0.77604,                 1.2943,                 1.0446,             0.00055364,             0.00055364,             0.00055364
                     12,                0.82458,                 0.9735,                 1.0647,                0.79522,                0.83939,                0.86687,                0.69684,                0.77759,                 1.9862,                 1.0354,             0.00059849,             0.00059849,             0.00059849
                     13,                0.83187,                0.98766,                 1.0456,                0.70487,                0.92541,                0.88199,                0.68581,                0.84213,                 1.5937,                 1.1193,             0.00064221,             0.00064221,             0.00064221
                     14,                0.75857,                0.93046,                  1.037,                0.80514,                0.89991,                0.89137,                0.69622,                0.81327,                 1.6493,                 1.1224,              0.0006848,              0.0006848,              0.0006848
                     15,                0.77043,                0.79599,                0.99421,                0.90883,                0.86667,                0.93163,                0.77349,                0.74724,                 1.3063,                 1.0306,             0.00072625,             0.00072625,             0.00072625
                     16,                0.80282,                0.84218,                 1.0358,                0.84314,                0.80659,                0.89263,                0.74564,                0.78723,                 1.3709,                 1.0303,             0.00076658,             0.00076658,             0.00076658
                     17,                 0.7896,                0.87557,                 1.0204,                0.78174,                 0.8792,                0.89837,                0.74587,                 0.7372,                 1.0317,                 1.0156,             0.00080577,             0.00080577,             0.00080577
                     18,                0.74448,                 0.8579,                 1.0287,                0.88976,                0.86296,                0.88543,                0.72248,                0.80514,                 1.9009,                 1.0701,             0.00084383,             0.00084383,             0.00084383
                     19,                0.81193,                0.88363,                 1.0172,                0.78195,                0.81243,                 0.8695,                0.67576,                0.86157,                 2.0462,                 1.1319,             0.00088076,             0.00088076,             0.00088076
                     20,                0.81151,                0.81689,                 1.0427,                0.79584,                0.82579,                0.87352,                0.66913,                0.86773,                 1.8639,                 1.1673,             0.00091656,             0.00091656,             0.00091656
                     21,                0.77107,                0.87688,                 1.0542,                0.91594,                0.78745,                0.83944,                0.65279,                0.85318,                 1.6757,                 1.1824,             0.00095123,             0.00095123,             0.00095123
                     22,                0.79598,                0.86584,                 1.0495,                0.96742,                0.88377,                0.91843,                 0.7243,                0.82391,                 1.2334,                 1.2087,             0.00098476,             0.00098476,             0.00098476
                     23,                0.72502,                0.77021,                 1.0047,                 0.8932,                    0.9,                0.90478,                0.69805,                0.88093,                 1.4085,                 1.2405,              0.0010172,              0.0010172,              0.0010172
                     24,                0.73487,                0.74168,                 1.0362,                0.85384,                0.87604,                0.89943,                0.73052,                0.82381,                 1.5985,                 1.1701,              0.0010484,              0.0010484,              0.0010484
                     25,                0.78117,                 0.7562,                 1.0227,                0.91348,                 0.8697,                 0.8981,                0.73036,                0.84149,                 1.2948,                 1.1482,              0.0010786,              0.0010786,              0.0010786
                     26,                0.72794,                 0.6794,                 1.0097,                 0.9044,                    0.9,                0.91697,                0.70961,                0.92199,                 1.2537,                   1.16,              0.0010753,              0.0010753,              0.0010753
                     27,                0.76704,                0.70745,                 1.0299,                0.91299,                    0.9,                0.94412,                0.73336,                  0.856,                 1.3429,                 1.1204,              0.0010612,              0.0010612,              0.0010612
                     28,                0.72787,                0.75064,                 1.0148,                0.90547,                    0.9,                0.95274,                0.73025,                0.82158,                 1.2062,                 1.0729,               0.001047,               0.001047,               0.001047
                     29,                0.77637,                 0.7967,                 1.0376,                0.89148,                0.80813,                0.93927,                0.75594,                0.74632,                 1.2545,                 1.0347,              0.0010329,              0.0010329,              0.0010329
                     30,                0.73479,                0.75859,                 1.0286,                0.91151,                0.79516,                0.91881,                0.76954,                0.71499,                 1.2524,                 1.0149,              0.0010187,              0.0010187,              0.0010187
                     31,                 0.6542,                0.68545,                0.96003,                0.85369,                 0.8531,                 0.9488,                0.75672,                0.76965,                  1.142,                 1.0363,              0.0010046,              0.0010046,              0.0010046
                     32,                0.71153,                0.68809,                0.99283,                0.94285,                0.86296,                0.96029,                 0.7323,                 0.8019,                 1.1439,                 1.0735,             0.00099044,             0.00099044,             0.00099044
                     33,                0.70936,                0.70254,                0.96075,                0.76667,                0.89519,                0.92475,                0.68733,                 0.8608,                 1.3864,                 1.1233,             0.00097629,             0.00097629,             0.00097629
                     34,                0.66961,                0.68633,                0.97433,                0.83885,                0.86296,                0.92415,                0.71941,                0.81537,                0.98725,                 1.0965,             0.00096215,             0.00096215,             0.00096215
                     35,                0.68827,                0.65482,                0.99068,                0.93787,                0.87033,                 0.9407,                  0.768,                0.77495,                0.75196,                 1.0861,               0.000948,               0.000948,               0.000948
                     36,                0.69481,                0.62034,                0.99196,                0.94297,                0.86296,                0.93219,                 0.7784,                0.78587,                0.79885,                  1.094,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.6649,                0.61988,                0.98374,                0.94925,                0.85117,                0.95205,                0.79149,                 0.7953,                0.72701,                 1.1003,              0.0009197,              0.0009197,              0.0009197
                     38,                0.65289,                0.61331,                0.97189,                0.98806,                0.91297,                0.96685,                0.79792,                0.75945,                0.68377,                 1.0633,             0.00090556,             0.00090556,             0.00090556
                     39,                0.65566,                0.59383,                0.96243,                0.91097,                0.93333,                 0.9558,                0.80629,                0.74174,                0.75049,                  1.042,             0.00089141,             0.00089141,             0.00089141
                     40,                0.69938,                0.63905,                 1.0288,                 0.8428,                0.89674,                0.94024,                0.79558,                0.71946,                0.77067,                 1.0223,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.6797,                0.61793,                  0.977,                0.87825,                0.90931,                0.94084,                0.79044,                0.73922,                0.74675,                 1.0331,             0.00086312,             0.00086312,             0.00086312
                     42,                0.61033,                0.55965,                0.94939,                0.95139,                    0.9,                0.93747,                0.77886,                0.76084,                 0.7708,                 1.0347,             0.00084897,             0.00084897,             0.00084897
                     43,                0.67186,                0.58342,                0.99253,                0.89833,                    0.9,                0.91919,                0.74062,                 0.7669,                0.78735,                 1.0296,             0.00083482,             0.00083482,             0.00083482
                     44,                0.62353,                0.57007,                0.94129,                0.89931,                0.87883,                0.91745,                0.75268,                0.75527,                0.78914,                 1.0163,             0.00082067,             0.00082067,             0.00082067
                     45,                0.67951,                0.65281,                 1.0039,                0.91665,                0.86667,                 0.9058,                0.74434,                0.74919,                0.72085,                 1.0041,             0.00080653,             0.00080653,             0.00080653
                     46,                0.64796,                0.62492,                0.97445,                 0.8734,                    0.9,                0.90317,                0.74501,                0.74196,                0.69812,                0.99409,             0.00079238,             0.00079238,             0.00079238
                     47,                0.66922,                0.61633,                0.98633,                0.90986,                    0.9,                0.91553,                0.77156,                0.71566,                0.67734,                0.98515,             0.00077823,             0.00077823,             0.00077823
                     48,                0.60447,                0.54185,                0.94708,                0.89095,                    0.9,                0.92104,                 0.7688,                0.71523,                0.66854,                0.98722,             0.00076409,             0.00076409,             0.00076409
                     49,                0.61098,                0.52129,                0.95006,                0.89069,                0.90768,                0.93544,                0.78647,                 0.7236,                0.66128,                0.98723,             0.00074994,             0.00074994,             0.00074994
                     50,                0.63322,                  0.513,                0.97183,                0.92072,                0.92314,                0.95662,                0.80395,                0.73776,                0.66567,                0.99485,             0.00073579,             0.00073579,             0.00073579
                     51,                0.60567,                0.50631,                0.96921,                0.88273,                0.89641,                0.94915,                0.79857,                0.73279,                0.64916,                 0.9931,             0.00072164,             0.00072164,             0.00072164
                     52,                0.61422,                 0.5556,                0.94864,                0.98145,                0.91248,                0.95732,                0.79908,                0.71218,                0.60567,                0.98765,              0.0007075,              0.0007075,              0.0007075
                     53,                0.59031,                0.51209,                0.95709,                0.96449,                0.93333,                0.96537,                0.80418,                0.69513,                0.59241,                0.99516,             0.00069335,             0.00069335,             0.00069335
                     54,                0.63487,                0.52723,                0.95782,                0.93815,                0.92882,                 0.9663,                0.81213,                0.68012,                0.57841,                0.99401,              0.0006792,              0.0006792,              0.0006792
                     55,                0.56448,                0.49996,                0.94446,                0.90135,                0.93333,                0.95361,                0.81588,                0.68999,                 0.5741,                0.99032,             0.00066506,             0.00066506,             0.00066506
                     56,                0.58661,                0.49084,                0.92727,                0.94106,                    0.9,                0.96558,                0.81667,                0.72404,                0.57413,                0.98967,             0.00065091,             0.00065091,             0.00065091
                     57,                0.58068,                0.48024,                0.94451,                0.94946,                0.89556,                0.96269,                0.80608,                0.74921,                0.57408,                0.99101,             0.00063676,             0.00063676,             0.00063676
                     58,                0.58872,                 0.5002,                  0.926,                0.86682,                0.99034,                0.96045,                0.79466,                0.74653,                0.52553,                0.98642,             0.00062262,             0.00062262,             0.00062262
                     59,                0.61565,                0.51073,                0.95567,                0.86343,                0.99486,                0.96269,                0.80962,                0.73424,                0.50376,                0.97817,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.5877,                0.51459,                0.94035,                0.94324,                    0.9,                0.96226,                0.80317,                0.72067,                0.50074,                0.97329,             0.00059432,             0.00059432,             0.00059432
                     61,                0.54516,                0.49622,                 0.9401,                0.94035,                    0.9,                0.96464,                0.82165,                0.70981,                0.48623,                0.97089,             0.00058017,             0.00058017,             0.00058017
                     62,                0.55853,                0.49767,                0.92016,                0.97072,                0.86667,                0.96269,                0.80827,                0.73442,                0.51151,                0.98371,             0.00056603,             0.00056603,             0.00056603
                     63,                0.56843,                0.48352,                0.93861,                0.95481,                0.86667,                0.94838,                0.79678,                0.74177,                 0.5548,                0.98828,             0.00055188,             0.00055188,             0.00055188
                     64,                0.54161,                0.49345,                0.92419,                0.97858,                0.86667,                0.94468,                0.77486,                0.74834,                0.57099,                0.98722,             0.00053773,             0.00053773,             0.00053773
                     65,                0.52231,                 0.4451,                0.90947,                0.97589,                0.86667,                0.92963,                0.75891,                0.75454,                0.59737,                0.98589,             0.00052359,             0.00052359,             0.00052359
                     66,                0.50983,                0.45129,                0.90803,                0.97935,                0.86667,                0.91468,                0.75595,                0.74348,                0.61768,                0.97762,             0.00050944,             0.00050944,             0.00050944
                     67,                0.51918,                0.43033,                0.92483,                 0.8942,                0.86667,                0.89901,                0.75887,                0.72864,                0.61101,                0.97006,             0.00049529,             0.00049529,             0.00049529
                     68,                0.51474,                0.43346,                0.90908,                0.85291,                0.89643,                0.89186,                0.75605,                0.71854,                0.61912,                0.97037,             0.00048114,             0.00048114,             0.00048114
                     69,                0.51666,                0.43047,                0.94717,                0.85527,                0.87227,                0.89155,                0.74748,                0.71752,                 0.6284,                0.97227,               0.000467,               0.000467,               0.000467
                     70,                0.50966,                0.41766,                0.90687,                0.84082,                0.89563,                0.89164,                0.75886,                0.71494,                0.62483,                0.97074,             0.00045285,             0.00045285,             0.00045285
                     71,                0.53742,                0.45222,                0.93149,                 0.8637,                    0.9,                0.89394,                0.75923,                0.70711,                0.60911,                 0.9667,              0.0004387,              0.0004387,              0.0004387
                     72,                0.47959,                0.40817,                0.91951,                0.94439,                    0.9,                0.90684,                0.75528,                0.70862,                 0.6098,                0.96532,             0.00042456,             0.00042456,             0.00042456
                     73,                0.49959,                0.43533,                0.91933,                0.94158,                    0.9,                0.91441,                 0.7685,                0.70739,                0.59747,                0.96209,             0.00041041,             0.00041041,             0.00041041
                     74,                0.48058,                0.41948,                0.91897,                0.96965,                    0.9,                0.92612,                0.77874,                 0.7044,                0.58368,                0.96133,             0.00039626,             0.00039626,             0.00039626
                     75,                0.50818,                0.42935,                0.89533,                0.98024,                    0.9,                0.92743,                0.79174,                0.69081,                0.57226,                0.96045,             0.00038211,             0.00038211,             0.00038211
                     76,                0.48029,                0.39743,                0.91453,                0.97917,                    0.9,                 0.9294,                0.79125,                 0.6822,                0.58171,                0.96231,             0.00036797,             0.00036797,             0.00036797
                     77,                0.47998,                0.38695,                0.90111,                0.97639,                    0.9,                0.92871,                0.79181,                0.69503,                0.58289,                0.96489,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.4596,                0.39677,                0.89675,                 0.9728,                    0.9,                0.92647,                0.78268,                0.69188,                0.58971,                0.96406,             0.00033967,             0.00033967,             0.00033967
                     79,                0.50868,                0.44339,                0.93003,                0.97161,                    0.9,                0.92632,                0.79229,                0.67253,                0.57888,                0.95731,             0.00032553,             0.00032553,             0.00032553
                     80,                0.47885,                0.39988,                0.91707,                0.97067,                    0.9,                0.92618,                0.80969,                0.66068,                0.57429,                0.94938,             0.00031138,             0.00031138,             0.00031138
                     81,                0.47141,                0.39981,                0.88688,                0.97606,                    0.9,                0.92357,                0.80989,                0.65383,                0.56911,                0.94704,             0.00029723,             0.00029723,             0.00029723
                     82,                0.47209,                0.38613,                0.89371,                0.97983,                    0.9,                0.92182,                0.80498,                0.65718,                0.57292,                0.94773,             0.00028308,             0.00028308,             0.00028308
                     83,                0.44525,                0.38204,                0.89119,                0.94706,                 0.8781,                0.91855,                0.80071,                0.65705,                0.57768,                 0.9471,             0.00026894,             0.00026894,             0.00026894
                     84,                0.44795,                0.38021,                0.87755,                0.94997,                0.88979,                0.91877,                0.78993,                0.64925,                0.57889,                0.94426,             0.00025479,             0.00025479,             0.00025479
                     85,                0.40757,                0.35142,                0.87295,                0.95059,                0.88925,                0.91908,                0.79731,                0.64268,                0.58332,                0.94161,             0.00024064,             0.00024064,             0.00024064
                     86,                0.44279,                 0.3916,                0.88561,                0.91567,                0.86667,                0.91512,                0.80176,                0.63706,                0.57899,                0.94023,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.4474,                0.38578,                0.90248,                0.95208,                    0.9,                0.92018,                0.80829,                0.62846,                0.57553,                0.93789,             0.00021235,             0.00021235,             0.00021235
                     88,                0.45541,                0.37602,                0.91115,                0.94414,                    0.9,                0.92256,                0.82012,                0.62182,                0.56716,                0.93647,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.4102,                0.36141,                0.88777,                0.93599,                    0.9,                0.91747,                0.80716,                0.62229,                 0.5777,                0.93733,             0.00018406,             0.00018406,             0.00018406
                     90,                0.41707,                0.33629,                 0.8886,                0.93857,                    0.9,                0.91597,                0.80711,                0.62725,                0.57614,                0.93961,             0.00016991,             0.00016991,             0.00016991
                     91,                0.39116,                0.36076,                0.87885,                0.93786,                    0.9,                0.92123,                0.81039,                0.62729,                0.55584,                0.93719,             0.00015576,             0.00015576,             0.00015576
                     92,                0.37181,                0.34044,                0.86771,                0.93671,                    0.9,                0.92581,                0.81618,                0.62626,                0.54229,                0.93607,             0.00014161,             0.00014161,             0.00014161
                     93,                0.40293,                0.35424,                 0.8713,                0.91898,                    0.9,                0.93078,                 0.8185,                0.62357,                0.54162,                0.93648,             0.00012747,             0.00012747,             0.00012747
                     94,                0.38088,                  0.331,                0.87931,                0.91705,                    0.9,                0.93194,                0.81744,                0.61988,                0.54061,                0.93701,             0.00011332,             0.00011332,             0.00011332
                     95,                0.37304,                0.32705,                0.87337,                0.91435,                    0.9,                0.93075,                0.81887,                0.61517,                0.54924,                0.93601,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.38515,                0.34015,                0.86219,                0.91106,                    0.9,                0.92446,                0.81475,                  0.612,                0.54906,                0.93712,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.34754,                0.33207,                0.82499,                 0.9121,                    0.9,                0.92787,                0.81818,                0.61169,                0.54598,                0.93682,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.33801,                0.31709,                0.85913,                 0.9107,                    0.9,                0.92766,                0.81885,                0.61123,                0.54331,                0.93628,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.3418,                0.33017,                0.89591,                0.90987,                    0.9,                0.92211,                0.81915,                0.61258,                0.54184,                 0.9366,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.35885,                0.30194,                0.87047,                0.91095,                0.90298,                0.92878,                0.82594,                0.61208,                0.54074,                0.93623,             2.8437e-05,             2.8437e-05,             2.8437e-05
